path,age,state,gender
006510_male_Asian_19/mask2.jpg,19,mask,male
005264_male_Asian_22/mask3.jpg,22,mask,male
001501_male_Asian_18/mask4.jpg,18,mask,male
001003_male_Asian_24/mask4.jpg,24,mask,male
001364_male_Asian_28/mask1.jpg,28,mask,male
001611_male_Asian_23/mask3.jpg,23,mask,male
001193_male_Asian_21/mask4.jpg,21,mask,male
006612_male_Asian_19/mask3.jpeg,19,mask,male
006946_male_Asian_20/mask5.jpg,20,mask,male
006609_male_Asian_19/mask1.jpeg,19,mask,male
001176_male_Asian_18/mask3.jpg,18,mask,male
006713_male_Asian_19/mask1.jpg,19,mask,male
001127_male_Asian_18/mask5.jpg,18,mask,male
006608_male_Asian_19/mask4.jpeg,19,mask,male
001244_male_Asian_23/mask5.jpg,23,mask,male
004430_male_Asian_18/mask4.jpg,18,mask,male
006105_male_Asian_18/mask4.jpg,18,mask,male
001127_male_Asian_18/mask4.jpg,18,mask,male
001817_male_Asian_23/mask1.jpg,23,mask,male
006224_male_Asian_20/mask3.png,20,mask,male
006612_male_Asian_19/mask4.jpeg,19,mask,male
001546_male_Asian_26/mask2.jpg,26,mask,male
004204_male_Asian_19/mask2.jpg,19,mask,male
001105_male_Asian_25/mask4.jpg,25,mask,male
004486_male_Asian_20/mask2.jpg,20,mask,male
006368_male_Asian_19/mask1.jpg,19,mask,male
001641_male_Asian_18/mask4.jpg,18,mask,male
001308_male_Asian_26/mask2.jpg,26,mask,male
004203_male_Asian_19/mask5.jpg,19,mask,male
006090_male_Asian_19/mask4.jpg,19,mask,male
006948_male_Asian_19/mask3.jpg,19,mask,male
004469_male_Asian_25/mask5.jpg,25,mask,male
005228_male_Asian_23/mask5.jpg,23,mask,male
005284_male_Asian_22/mask1.jpg,22,mask,male
006672_male_Asian_19/mask5.jpg,19,mask,male
004450_male_Asian_22/mask3.jpg,22,mask,male
001496-1_male_Asian_21/mask4.jpg,21,mask,male
001136_male_Asian_26/mask3.jpg,26,mask,male
006225_male_Asian_19/mask5.jpg,19,mask,male
001381_male_Asian_23/mask2.jpg,23,mask,male
001226_male_Asian_23/mask2.jpg,23,mask,male
006717_male_Asian_19/mask3.jpg,19,mask,male
006727_male_Asian_20/mask1.jpg,20,mask,male
005406_male_Asian_24/mask2.jpg,24,mask,male
006715_male_Asian_21/mask5.jpg,21,mask,male
001287_male_Asian_26/mask5.jpg,26,mask,male
001187-1_male_Asian_25/mask2.jpg,25,mask,male
001513_male_Asian_22/mask4.jpg,22,mask,male
006375_male_Asian_19/mask2.jpg,19,mask,male
006127_male_Asian_20/mask3.png,20,mask,male
006564_male_Asian_19/mask3.jpg,19,mask,male
006211_male_Asian_19/mask4.png,19,mask,male
006206_male_Asian_19/mask2.png,19,mask,male
001037_male_Asian_18/mask1.jpg,18,mask,male
005263_male_Asian_20/mask4.jpg,20,mask,male
006943_male_Asian_20/mask4.jpg,20,mask,male
001023_male_Asian_19/mask5.jpg,19,mask,male
001239_male_Asian_25/mask4.jpg,25,mask,male
004483_male_Asian_19/mask5.jpg,19,mask,male
001550_male_Asian_28/mask5.jpg,28,mask,male
006380_male_Asian_19/mask4.jpg,19,mask,male
001640_male_Asian_18/mask2.jpg,18,mask,male
001114_male_Asian_26/mask2.jpg,26,mask,male
005249_male_Asian_22/mask4.jpg,22,mask,male
006597_male_Asian_19/mask5.jpg,19,mask,male
001005_male_Asian_24/mask1.jpg,24,mask,male
006614_male_Asian_19/mask5.jpeg,19,mask,male
001829_male_Asian_24/mask1.jpg,24,mask,male
001034_male_Asian_27/mask1.jpg,27,mask,male
001192_male_Asian_23/mask5.jpg,23,mask,male
